stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
1817.TW,3.72,0.418,10.473684,0.12888,0.07338,0.34386003,0.11406,10.698924,1.3633872,35.688,0.19685106172644207,0.023984400389990255,0.44238409759116937,0.02573941377683416,0.019472373368143912,0.5248644770257569,0.9543987364752013,0.13545658334004593,0.2367301448945555,0.1714608636269353,0.34472334166863694,0.6807502496143024
1904.TW,0.77,0.461,27.452831,0.030739998,0.01748,0.18304001,0.039189998,37.79221,1.119963,37.972,0.07916731665130107,0.004809879753006175,0.30412992383212123,0.027423183533852324,0.014431056130887599,0.535627802765345,0.947602751978796,0.07529777922631248,0.23644255873962988,0.14970537291034478,0.34099866190406086,0.6045986934317353
2002.TW,0.2,0.761,27.764706,0.01351,0.00392,0.04759,0.0082,118.0,1.1677966,23.816,0.05850611173022118,0.001104972375690608,0.18768590636337065,0.016987349610757253,0.01542169039075175,0.5358255048180474,0.9447897756154237,0.04798450782075776,0.23642244841897747,0.14523318519597067,0.32936000545063043,0.5902785880441023
2006.TW,6.38,0.478,12.357142,0.16566,0.06672,0.13888,0.0947,10.846395,1.7317317,85.45,0.24095548454746146,0.04127396815079623,0.26616633139045065,0.062424068176456717,0.027100791073115547,0.5260584281689347,0.9526414203761526,0.12995590586610772,0.24298209141589147,0.18740044894021224,0.33939900185250305,0.7067638886012297
2012.TW,0.83,0.658,7.1148458,0.07459,0.02177,0.1528,0.05415,30.60241,1.7191201,30.255,0.13174967197785203,0.005199870003249919,0.27813311325458645,0.02173419438546827,0.026839604730634473,0.5227352611320979,0.9489606782368745,0.0838843651153792,0.23629084893223148,0.15212902579857218,0.3288232334346645,0.6376390248462167
2015.TW,4.08,0.763,17.336344,0.11726,0.06308,0.102919996,0.08162,18.82353,2.1834931,59.55,0.18291703798581552,0.02632434189145272,0.2352521414693695,0.0433305319650861,0.03645677348138491,0.5292148160045078,0.9514541427637788,0.10024223510016146,0.24620859170994222,0.17261620663593463,0.3333305223302186,0.6704780186666874
2020.TW,5.77,0.633,26.360292,0.35467997,0.03917,0.12401,0.08507,6.2131715,1.9519764,30.466,0.46761716694268707,0.03730906727331817,0.25338285105139186,0.021889744043406465,0.03166206066966488,0.5349352265634779,0.9517673008496114,0.18342994790741615,0.24817506302148215,0.21089916225334934,0.33351983895165965,0.8452398989078076
2027.TW,1.91,0.755,12.602739,0.07581,0.0298,0.18083,0.058769997,19.267015,1.1830134,41.129,0.13321262455647204,0.01221969450763731,0.30223001667784255,0.02975053078556263,0.01573683044722881,0.5262141156432032,0.9493800374881998,0.09263898995151021,0.2340263698395005,0.15765241326306695,0.3357812946118013,0.6387821873761043
2033.TW,0.08,0.775,68.47826,0.00621,0.0028900001,0.11185,0.031689998,196.875,1.2309496,7.122,0.04975237908765888,0.00032499187520312,0.2429291105723767,0.00468049657938193,0.016729589553959222,0.5616344128696895,0.9469219735313339,0.05203274930347584,0.24793325277774236,0.15048626275922306,0.34571157564247923,0.5861619729247391
2059.TW,37.68,0.738,21.861906,0.21405001,0.10067,0.62111,0.52182996,31.847134,6.4049187,68.622,0.2989819516859431,0.24471888202794934,0.680731074087447,0.05001843005425808,0.12388253329932848,0.5320836349128253,0.9914122031805968,0.26214801056730797,0.31611742793752307,0.3246265410913047,0.3627771808511848,0.7650964136001944
