stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share
1236.TW,0.22,0.628,nan,0.008119999,-0.00119,0.26816,0.01129,111.36364,0.9241099,20.193
1256.TW,12.4,0.563,16.126417,0.1116,0.071100004,0.27585,0.06495,16.048388,1.7266811,138.19
1301.TW,0.81,0.547,20.066668,0.015310001,-0.00649,0.04201,-0.03004,74.32099,1.1358919,30.638
1303.TW,0.85,0.662,17.957747,0.02027,3.0000001e-05,0.06845,-0.015800001,60.0,1.1138777,31.852
1304.TW,-0.47,0.804,-32.8125,-0.04679,0.00364,0.08569,-0.03645,nan,0.7300793,47.667
1305.TW,0.14,0.825,36.595745,0.0095,-0.00063,0.08959,-0.03445,122.85715,1.0459107,22.084
1307.TW,2.54,0.557,29.528303,0.1172,0.041890003,0.26518,0.12864,12.322835,1.3757637,25.341
1308.TW,-0.08,0.403,65.74074,-0.0033500001,0.02474,0.12533,-0.03446,nan,0.8141082,11.3
1309.TW,-0.77,0.751,-452.50003,-0.044,-0.03655,0.02385,-0.04992,nan,1.0941845,38.787
1310.TW,-0.94,0.884,52.307697,-0.07053,-0.044299997,-0.046529997,-0.035099998,nan,1.0306153,17.9
1312.TW,-1.87,0.769,22.121212,-0.04972,-0.0114400005,0.029949998,-0.069180004,nan,0.48558223,15.337
1313.TW,-0.82,1.108,-13.072917,-0.03806,-0.01282,0.0163,-0.06322,nan,0.53777266,56.781
1314.TW,0.05,0.554,5.890805,0.00211,-0.01031,-0.009380001,-0.030869998,205.0,0.4896341,7.784
1315.TW,3.75,0.327,nan,0.03415,-0.00232,0.14844,-0.0936,19.28,0.676941,21.685
1316.TW,-0.74,1.208,86.590904,-0.02101,-0.01041,0.23684,-0.25818002,nan,1.6307138,3.357
1319.TW,6.25,0.43,15.986395,0.14394,0.07549,0.31646,0.19613001,18.8,2.5978906,41.311
1321.TW,0.81,0.592,nan,0.030079998,-0.00133,0.07368,0.00557,47.098766,1.3653283,21.275
1323.TW,0.88,0.211,9.008876,0.062480003,0.023570001,0.19393998,0.05957,34.602272,1.1509241,36.013
1324.TW,0.43,0.316,nan,0.03461,0.01642,0.21082,-0.00439,32.09302,1.0795588,11.837
1325.TW,0.39,0.885,nan,0.0095999995,-0.01119,-0.01416,-0.11622,88.46154,1.0563381,4.602
1326.TW,1.85,0.555,21.924686,0.02772,-0.00098,0.04091,-0.00177,28.324326,0.94063586,57.024
1337.TW,-1.56,0.59,nan,-0.09082,-0.04721,-0.14032,-0.32359,nan,0.46073624,3.284
1338.TW,-2.06,nan,3.7819023,-0.02178,0.00025,0.22191,-0.02476,nan,0.44004697,65.488
1339.TW,6.79,0.595,20.685358,0.13119,0.04765,0.35208,0.18327999,9.779087,1.2725183,28.208
1340.TW,-5.75,0.594,nan,-0.21237,-0.05901,-0.41581002,-1.34666,nan,0.41182292,3.438
1341.TW,4.43,0.245,nan,0.20368999,0.07288,0.20758,0.11906999,15.914222,3.1149209,48.306
1342.TW,7.66,0.127,11.897436,0.24933,0.123330005,0.32498002,0.25975,15.143603,3.6881597,36.386
1402.TW,1.67,0.429,17.881773,0.05396,0.01424,0.1844,0.04952,21.736526,0.84090066,52.177
1409.TW,0.67,0.694,nan,0.03426,0.01206,0.19183001,0.1014,25.074625,0.7602842,25.379
1410.TW,0.37,0.427,nan,0.01975,-0.00046999997,0.30899,0.04955,102.162155,2.2343068,3.535
1413.TW,-0.86,0.399,nan,-0.09875,-0.029040001,-0.028450001,-0.02545,nan,1.344579,16.282
1414.TW,0.27,0.605,nan,0.019299999,-0.0026699998,0.10265,0.00497,80.55555,1.524497,2.58
1416.TW,0.67,0.495,nan,0.03878,-0.00054000004,0.38396,0.04571,18.134327,0.604628,1.596
1417.TW,-0.44,0.883,nan,-0.031059999,-0.01652,0.33613,-0.08529,nan,0.8227023,6.841
1418.TW,0.51,0.09,nan,0.02269,-0.01084,0.07349,-4.92724,57.549023,1.2891465,0.265
1419.TW,2.17,0.338,nan,0.05039,0.01148,0.28881,0.06258,22.327188,1.0528488,11.415
1423.TW,0.38,0.286,nan,0.014400001,-0.01355,-0.32022,-0.40318,111.84211,1.4301096,1.031
1432.TW,0.5,0.313,nan,0.052410003,0.00877,0.43219003,0.03233,35.5,2.078941,14.923
1434.TW,0.32,0.185,32.1831,0.01028,0.00207,0.08904,0.025409998,71.40625,0.76608443,16.659
1435.TW,-0.31,0.024,nan,-0.03805,-0.02397,0.88369006,-2.91019,nan,5.0438137,0.064
1436.TW,7.15,0.229,52.090595,0.30587998,0.04555,0.84068,-2.06821,20.90909,4.5839214,16.543
1437.TW,3.0,0.33,nan,0.08245,0.02164,0.62523997,0.50256,12.916667,1.0229672,4.268
1438.TW,-1.05,0.212,nan,-0.04955,-0.0010800001,0.23909001,-0.38441002,nan,2.8829541,0.481
1439.TW,2.0,0.372,nan,0.06394,-0.00306,0.29095,-0.20899001,14.825,1.0340017,1.546
1440.TW,1.5,0.854,84.04762,0.090950005,-0.01076,0.05153,-0.039890002,11.766666,1.0093212,10.995
1441.TW,-4.6,0.775,nan,-0.61922,-0.06993,-0.07114,-0.12816,nan,2.5009298,17.003
1442.TW,5.73,0.562,nan,0.30121002,0.09020001,0.4305,0.32692,10.837696,2.947598,18.229
1443.TW,1.76,0.484,nan,0.13059,0.02575,0.45909,0.36264,18.039772,2.1328766,6.118
1444.TW,0.07,0.482,34.964287,0.00281,-0.01644,0.00385,-0.036199998,139.85715,0.8923526,8.049
1445.TW,7.53,0.13,nan,0.45938,-0.02921,0.11409,-0.083129995,2.6095617,0.95891076,9.348
1446.TW,3.02,0.576,nan,0.25677,0.06272,0.47864,0.42466,17.086092,3.9185903,9.115
1447.TW,-0.19,0.708,27.916666,-0.014889999,-0.0149300005,0.00928,-0.00184,nan,0.9298668,34.837
1449.TW,0.91,0.945,nan,0.060900003,0.00563,0.1743,0.07842,19.505493,0.922845,34.628
1451.TW,-0.61,0.47,nan,-0.0167,-0.01609,0.037219997,-0.00818,nan,0.6149772,33.029
1452.TW,0.13,0.367,8.661616,0.02269,-0.01084,0.0414,-0.017970001,131.92308,0.8293839,9.585
1453.TW,0.72,0.63,nan,0.05408,0.0053399997,0.31824,-25.796509,36.38889,1.9274627,1.912
1454.TW,0.35,0.322,nan,0.02649,-0.0066500003,0.093109995,-0.009649999,47.428574,1.2744722,12.609
1455.TW,-0.23,1.069,19.51389,-0.01942,-0.027780002,-0.01085,-0.00679,nan,1.171419,15.387
1456.TW,0.22,0.92,nan,0.01428,0.02249,0.32676998,0.18143,92.95455,1.3032118,19.631
1457.TW,2.47,0.432,41.38889,0.11851,0.00077,0.072069995,0.02408,9.048583,0.95557743,14.744
1459.TW,0.11,0.783,153.57143,0.01273,-0.03293,-0.10344,-0.14387,97.72727,1.2146893,4.129
1460.TW,-1.8,0.754,12.353847,-0.18631001,-0.05373,0.0219,-0.010290001,nan,0.913746,11.631
1463.TW,0.53,0.335,nan,0.0372,-0.01344,0.04,-0.29853,38.584908,1.4601928,2.044
1464.TW,0.15,0.566,13.443397,0.02113,-0.00487,0.15737,0.017239999,95.0,1.1145874,24.029
1465.TW,0.9,0.348,nan,0.057340004,-0.0067299996,0.10253,-0.16207,16.777779,0.95448804,5.434
1466.TW,-0.84,0.536,nan,-0.062989995,-0.018339999,0.053850003,-0.03259,nan,0.9703819,22.823
1467.TW,-0.1,0.769,nan,-0.00672,-0.00273,0.18309,0.02484,nan,0.9348093,20.387
1468.TW,0.44,0.617,nan,0.07585,-0.01234,0.074439995,0.0025,34.318184,1.9386314,6.402
1470.TW,0.52,0.011,nan,0.04659,0.016619999,0.20465,0.11305001,39.134617,1.804398,7.153
1471.TW,-0.23,1.436,nan,-0.0216,-0.02963,0.13057,-0.34653,nan,1.6702977,1.741
1472.TW,5.03,1.421,nan,0.16057,0.03836,0.13303,0.0881,14.473161,2.103864,60.181
1473.TW,3.04,0.216,36.05634,0.11691,0.04305,0.18365999,0.077870004,16.842106,1.8656852,48.412
1474.TW,0.36,0.769,nan,0.0276,-0.013300001,0.084309995,-0.02141,39.166668,0.86822665,21.548
1475.TW,4.95,0.981,nan,0.26701,0.11062,0.24517,0.21542,12.101011,2.8713868,30.275
1476.TW,16.68,1.022,20.022753,0.25742,0.12731,0.31583,0.19344,31.654676,6.1351833,116.36
